,problem_id,experiment_id,subtract_lim,is_subtract,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,limo.avg_length_norm,limo.length_mean,limo.ratio_mean,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
241,5,0,10.0,1,"[0.12, 0.469506448503778]","[0.11, 0.5830090612540064]","[0.08, 0.9084105017744525]","[0.13, 0.36818778606286096]","[0.12, 0.469506448503778]","[0.12, 0.469506448503778]","[0.07, 0.9684099261397212]","[0.15, 0.21117008625127576]","[0.12, 0.469506448503778]","[0.11, 0.5830090612540064]","[0.08, 0.9084105017744525]","[0.13, 0.36818778606286096]","[0.12, 0.469506448503778]","[0.12, 0.469506448503778]","[0.07, 0.9684099261397212]","[0.16, 0.1548386665118475]","[0.15, 0.21117008625127576]","[0.12, 0.469506448503778]","[0.02, 0.9999999999999999]","[0.04, 0.999998821968263]","[0.13, 0.36818778606286096]","[0.11, 0.5830090612540064]","[0.2, 0.03638428787491733]","[0.18, 0.07822115797841851]","[0.11, 0.5830090612540064]","[0.14, 0.2819416298082479]","[0.14, 0.2819416298082479]","[0.13, 0.36818778606286096]","[0.21, 0.024055802841094577]","[0.33, 3.211428734211389e-05]","[0.1, 0.7020569828664881]","[0.14, 0.2819416298082479]","[0.12, 0.469506448503778]","[0.09, 0.8154147124661313]","[0.14, 0.2819416298082479]","[0.18, 0.07822115797841851]","[0.17, 0.11119526053829192]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.1, 0.7020569828664881]","[0.09, 0.8154147124661313]","[0.07, 0.9684099261397212]","[0.13, 0.36818778606286096]","[0.06, 0.9942356257694902]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.29, 0.0004117410017938115]","[0.11, 0.5830090612540064]"
242,5,0,15.0,1,"[0.19, 0.05390207893129876]","[0.1, 0.7020569828664881]","[0.12, 0.469506448503778]","[0.21, 0.024055802841094577]","[0.22, 0.015577131622877688]","[0.12, 0.469506448503778]","[0.1, 0.7020569828664881]","[0.21, 0.024055802841094577]","[0.19, 0.05390207893129876]","[0.1, 0.7020569828664881]","[0.12, 0.469506448503778]","[0.21, 0.024055802841094577]","[0.21, 0.024055802841094577]","[0.13, 0.36818778606286096]","[0.1, 0.7020569828664881]","[0.21, 0.024055802841094577]","[0.18, 0.07822115797841851]","[0.14, 0.2819416298082479]","[0.04, 0.999998821968263]","[0.12, 0.469506448503778]","[0.12, 0.469506448503778]","[0.1, 0.7020569828664881]","[0.17, 0.11119526053829192]","[0.27, 0.0012935059781377376]","[0.19, 0.05390207893129876]","[0.13, 0.36818778606286096]","[0.24, 0.0061340334218580265]","[0.17, 0.11119526053829192]","[0.3, 0.0002248739317492479]","[0.62, 2.7084430241713094e-18]","[0.1, 0.7020569828664881]","[0.09, 0.8154147124661313]","[0.09, 0.8154147124661313]","[0.31, 0.00012016164291946694]","[0.4, 1.5550790371345692e-07]","[0.1, 0.7020569828664881]","[0.42, 2.749465483696122e-08]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.12, 0.469506448503778]","[0.17, 0.11119526053829192]","[0.13, 0.36818778606286096]","[0.16, 0.1548386665118475]","[0.12, 0.469506448503778]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.4, 1.5550790371345692e-07]","[0.15, 0.21117008625127576]"
243,5,0,20.0,1,"[0.26, 0.002219935934558366]","[0.22, 0.015577131622877688]","[0.36, 3.751914289152195e-06]","[0.35, 7.850159128072286e-06]","[0.26, 0.002219935934558366]","[0.25, 0.0037294923618311367]","[0.33, 3.211428734211389e-05]","[0.34, 1.605714367105695e-05]","[0.26, 0.002219935934558366]","[0.22, 0.015577131622877688]","[0.36, 3.751914289152195e-06]","[0.35, 7.850159128072286e-06]","[0.26, 0.002219935934558366]","[0.25, 0.0037294923618311367]","[0.34, 1.605714367105695e-05]","[0.34, 1.605714367105695e-05]","[0.21, 0.024055802841094577]","[0.16, 0.1548386665118475]","[0.06, 0.9942356257694902]","[0.08, 0.9084105017744525]","[0.22, 0.015577131622877688]","[0.17, 0.11119526053829192]","[0.26, 0.002219935934558366]","[0.43, 1.1151678185620634e-08]","[0.21, 0.024055802841094577]","[0.24, 0.0061340334218580265]","[0.33, 3.211428734211389e-05]","[0.22, 0.015577131622877688]","[0.4, 1.5550790371345692e-07]","[0.96, 1.4287357500157535e-51]","[0.07, 0.9684099261397212]","[0.13, 0.36818778606286096]","[0.13, 0.36818778606286096]","[0.42, 2.749465483696122e-08]","[0.61, 1.1250455638865439e-17]","[0.15, 0.21117008625127576]","[0.6, 4.528308394643339e-17]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.23, 0.009878183186176536]","[0.26, 0.002219935934558366]","[0.2, 0.03638428787491733]","[0.23, 0.009878183186176536]","[0.11, 0.5830090612540064]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.59, 1.7671447393730104e-16]","[0.23, 0.009878183186176536]"
244,5,0,25.0,1,"[0.3, 0.0002248739317492479]","[0.33, 3.211428734211389e-05]","[0.31, 0.00012016164291946694]","[0.46, 6.422179651064002e-10]","[0.31, 0.00012016164291946694]","[0.32, 6.281176788972264e-05]","[0.31, 0.00012016164291946694]","[0.46, 6.422179651064002e-10]","[0.3, 0.0002248739317492479]","[0.33, 3.211428734211389e-05]","[0.31, 0.00012016164291946694]","[0.46, 6.422179651064002e-10]","[0.31, 0.00012016164291946694]","[0.32, 6.281176788972264e-05]","[0.31, 0.00012016164291946694]","[0.46, 6.422179651064002e-10]","[0.24, 0.0061340334218580265]","[0.19, 0.05390207893129876]","[0.05, 0.9996892272702655]","[0.15, 0.21117008625127576]","[0.19, 0.05390207893129876]","[0.27, 0.0012935059781377376]","[0.3, 0.0002248739317492479]","[0.48, 8.448372017533173e-11]","[0.37, 1.7527190839835072e-06]","[0.36, 3.751914289152195e-06]","[0.48, 8.448372017533173e-11]","[0.29, 0.0004117410017938115]","[0.56, 8.771130313572204e-15]","[1.0, 2.2087606931995054e-59]","[0.11, 0.5830090612540064]","[0.1, 0.7020569828664881]","[0.12, 0.469506448503778]","[0.61, 1.1250455638865439e-17]","[0.85, 3.231287980676471e-37]","[0.27, 0.0012935059781377376]","[0.78, 2.485563277850393e-30]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.31, 0.00012016164291946694]","[0.33, 3.211428734211389e-05]","[0.23, 0.009878183186176536]","[0.27, 0.0012935059781377376]","[0.08, 0.9084105017744525]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.83, 4.043861869934819e-35]","[0.38, 8.001543644272532e-07]"
245,5,0,30.0,1,"[0.41, 6.617357604827955e-08]","[0.46, 6.422179651064002e-10]","[0.55, 3.0406585087050305e-14]","[0.56, 8.771130313572204e-15]","[0.4, 1.5550790371345692e-07]","[0.49, 2.948425133635738e-11]","[0.53, 3.35710076793659e-13]","[0.56, 8.771130313572204e-15]","[0.41, 6.617357604827955e-08]","[0.46, 6.422179651064002e-10]","[0.55, 3.0406585087050305e-14]","[0.56, 8.771130313572204e-15]","[0.4, 1.5550790371345692e-07]","[0.49, 2.948425133635738e-11]","[0.53, 3.35710076793659e-13]","[0.57, 2.458151170682656e-15]","[0.35, 7.850159128072286e-06]","[0.23, 0.009878183186176536]","[0.08, 0.9084105017744525]","[0.19, 0.05390207893129876]","[0.27, 0.0012935059781377376]","[0.33, 3.211428734211389e-05]","[0.4, 1.5550790371345692e-07]","[0.68, 2.6207113475674983e-22]","[0.44, 4.414205948474835e-09]","[0.5, 1.0024645454361508e-11]","[0.61, 1.1250455638865439e-17]","[0.3, 0.0002248739317492479]","[0.7, 9.048888467758296e-24]","[1.0, 2.2087606931995054e-59]","[0.15, 0.21117008625127576]","[0.11, 0.5830090612540064]","[0.09, 0.8154147124661313]","[0.72, 2.6766397956445386e-25]","[0.95, 5.600644140061753e-50]","[0.2, 0.03638428787491733]","[0.92, 1.2170049699100436e-45]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.45, 1.7047967801006258e-09]","[0.41, 6.617357604827955e-08]","[0.37, 1.7527190839835072e-06]","[0.37, 1.7527190839835072e-06]","[0.09, 0.8154147124661313]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.97, 2.9009862944482307e-53]","[0.52, 1.070075869779788e-12]"
246,5,0,35.0,1,"[0.49, 2.948425133635738e-11]","[0.55, 3.0406585087050305e-14]","[0.61, 1.1250455638865439e-17]","[0.67, 1.3341803223979991e-21]","[0.5, 1.0024645454361508e-11]","[0.57, 2.458151170682656e-15]","[0.6, 4.528308394643339e-17]","[0.71, 1.5875242925891747e-24]","[0.49, 2.948425133635738e-11]","[0.55, 3.0406585087050305e-14]","[0.61, 1.1250455638865439e-17]","[0.67, 1.3341803223979991e-21]","[0.5, 1.0024645454361508e-11]","[0.57, 2.458151170682656e-15]","[0.61, 1.1250455638865439e-17]","[0.7, 9.048888467758296e-24]","[0.34, 1.605714367105695e-05]","[0.26, 0.002219935934558366]","[0.03, 0.9999999999962054]","[0.21, 0.024055802841094577]","[0.3, 0.0002248739317492479]","[0.39, 3.5690338557186834e-07]","[0.51, 3.319419024623016e-12]","[0.74, 6.722276544772013e-27]","[0.48, 8.448372017533173e-11]","[0.59, 1.7671447393730104e-16]","[0.8, 3.5640292810890176e-32]","[0.43, 1.1151678185620634e-08]","[0.88, 1.349043370936356e-40]","[1.0, 2.2087606931995054e-59]","[0.16, 0.1548386665118475]","[0.13, 0.36818778606286096]","[0.13, 0.36818778606286096]","[0.85, 3.231287980676471e-37]","[0.99, 4.417521386399011e-57]","[0.27, 0.0012935059781377376]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.58, 6.689905084769254e-16]","[0.61, 1.1250455638865439e-17]","[0.45, 1.7047967801006258e-09]","[0.49, 2.948425133635738e-11]","[0.16, 0.1548386665118475]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.99, 4.417521386399011e-57]","[0.65, 3.108079571219943e-20]"
247,5,0,40.0,1,"[0.57, 2.458151170682656e-15]","[0.62, 2.7084430241713094e-18]","[0.73, 4.3321337732975196e-26]","[0.76, 1.4186622578252622e-28]","[0.58, 6.689905084769254e-16]","[0.61, 1.1250455638865439e-17]","[0.74, 6.722276544772013e-27]","[0.78, 2.485563277850393e-30]","[0.57, 2.458151170682656e-15]","[0.62, 2.7084430241713094e-18]","[0.73, 4.3321337732975196e-26]","[0.76, 1.4186622578252622e-28]","[0.58, 6.689905084769254e-16]","[0.61, 1.1250455638865439e-17]","[0.74, 6.722276544772013e-27]","[0.78, 2.485563277850393e-30]","[0.44, 4.414205948474835e-09]","[0.29, 0.0004117410017938115]","[0.14, 0.2819416298082479]","[0.33, 3.211428734211389e-05]","[0.37, 1.7527190839835072e-06]","[0.43, 1.1151678185620634e-08]","[0.52, 1.070075869779788e-12]","[0.82, 4.111259567767065e-34]","[0.63, 6.314161651442317e-19]","[0.71, 1.5875242925891747e-24]","[0.89, 8.565354736103848e-42]","[0.53, 3.35710076793659e-13]","[0.94, 1.8202093455200697e-48]","[1.0, 2.2087606931995054e-59]","[0.11, 0.5830090612540064]","[0.11, 0.5830090612540064]","[0.14, 0.2819416298082479]","[0.96, 1.4287357500157535e-51]","[1.0, 2.2087606931995054e-59]","[0.41, 6.617357604827955e-08]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.65, 3.108079571219943e-20]","[0.66, 6.55317981883723e-21]","[0.45, 1.7047967801006258e-09]","[0.54, 1.0245697148897385e-13]","[0.16, 0.1548386665118475]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.68, 2.6207113475674983e-22]"
248,5,0,45.0,1,"[0.59, 1.7671447393730104e-16]","[0.7, 9.048888467758296e-24]","[0.82, 4.111259567767065e-34]","[0.83, 4.043861869934819e-35]","[0.59, 1.7671447393730104e-16]","[0.71, 1.5875242925891747e-24]","[0.81, 3.93815390175582e-33]","[0.83, 4.043861869934819e-35]","[0.59, 1.7671447393730104e-16]","[0.7, 9.048888467758296e-24]","[0.82, 4.111259567767065e-34]","[0.83, 4.043861869934819e-35]","[0.59, 1.7671447393730104e-16]","[0.7, 9.048888467758296e-24]","[0.82, 4.111259567767065e-34]","[0.83, 4.043861869934819e-35]","[0.4, 1.5550790371345692e-07]","[0.25, 0.0037294923618311367]","[0.07, 0.9684099261397212]","[0.34, 1.605714367105695e-05]","[0.4, 1.5550790371345692e-07]","[0.44, 4.414205948474835e-09]","[0.54, 1.0245697148897385e-13]","[0.87, 1.9509242595079607e-39]","[0.7, 9.048888467758296e-24]","[0.77, 1.923609841119e-29]","[0.95, 5.600644140061753e-50]","[0.55, 3.0406585087050305e-14]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.12, 0.469506448503778]","[0.08, 0.9084105017744525]","[0.12, 0.469506448503778]","[0.97, 2.9009862944482307e-53]","[1.0, 2.2087606931995054e-59]","[0.43, 1.1151678185620634e-08]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.67, 1.3341803223979991e-21]","[0.71, 1.5875242925891747e-24]","[0.59, 1.7671447393730104e-16]","[0.62, 2.7084430241713094e-18]","[0.27, 0.0012935059781377376]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.81, 3.93815390175582e-33]"
249,5,0,50.0,1,"[0.72, 2.6766397956445386e-25]","[0.8, 3.5640292810890176e-32]","[0.89, 8.565354736103848e-42]","[0.95, 5.600644140061753e-50]","[0.68, 2.6207113475674983e-22]","[0.81, 3.93815390175582e-33]","[0.9, 4.958889584060123e-43]","[0.95, 5.600644140061753e-50]","[0.72, 2.6766397956445386e-25]","[0.8, 3.5640292810890176e-32]","[0.89, 8.565354736103848e-42]","[0.95, 5.600644140061753e-50]","[0.68, 2.6207113475674983e-22]","[0.81, 3.93815390175582e-33]","[0.9, 4.958889584060123e-43]","[0.95, 5.600644140061753e-50]","[0.55, 3.0406585087050305e-14]","[0.4, 1.5550790371345692e-07]","[0.17, 0.11119526053829192]","[0.37, 1.7527190839835072e-06]","[0.51, 3.319419024623016e-12]","[0.56, 8.771130313572204e-15]","[0.7, 9.048888467758296e-24]","[0.92, 1.2170049699100436e-45]","[0.73, 4.3321337732975196e-26]","[0.87, 1.9509242595079607e-39]","[0.98, 4.395433779467016e-55]","[0.62, 2.7084430241713094e-18]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.12, 0.469506448503778]","[0.14, 0.2819416298082479]","[0.13, 0.36818778606286096]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.39, 3.5690338557186834e-07]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.79, 3.0548822409334434e-31]","[0.79, 3.0548822409334434e-31]","[0.62, 2.7084430241713094e-18]","[0.67, 1.3341803223979991e-21]","[0.25, 0.0037294923618311367]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.92, 1.2170049699100436e-45]"
250,5,0,55.0,1,"[0.82, 4.111259567767065e-34]","[0.9, 4.958889584060123e-43]","[0.96, 1.4287357500157535e-51]","[0.97, 2.9009862944482307e-53]","[0.8, 3.5640292810890176e-32]","[0.91, 2.596277269141426e-44]","[0.95, 5.600644140061753e-50]","[0.97, 2.9009862944482307e-53]","[0.82, 4.111259567767065e-34]","[0.9, 4.958889584060123e-43]","[0.96, 1.4287357500157535e-51]","[0.97, 2.9009862944482307e-53]","[0.8, 3.5640292810890176e-32]","[0.91, 2.596277269141426e-44]","[0.96, 1.4287357500157535e-51]","[0.97, 2.9009862944482307e-53]","[0.42, 2.749465483696122e-08]","[0.31, 0.00012016164291946694]","[0.19, 0.05390207893129876]","[0.45, 1.7047967801006258e-09]","[0.56, 8.771130313572204e-15]","[0.63, 6.314161651442317e-19]","[0.66, 6.55317981883723e-21]","[0.94, 1.8202093455200697e-48]","[0.86, 2.6058774037713476e-38]","[0.9, 4.958889584060123e-43]","[1.0, 2.2087606931995054e-59]","[0.66, 6.55317981883723e-21]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.15, 0.21117008625127576]","[0.1, 0.7020569828664881]","[0.19, 0.05390207893129876]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.59, 1.7671447393730104e-16]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.91, 2.596277269141426e-44]","[0.87, 1.9509242595079607e-39]","[0.72, 2.6766397956445386e-25]","[0.75, 9.987382295089846e-28]","[0.34, 1.605714367105695e-05]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.93, 5.044580186155621e-47]"
251,5,0,60.0,1,"[0.87, 1.9509242595079607e-39]","[0.92, 1.2170049699100436e-45]","[0.97, 2.9009862944482307e-53]","[0.99, 4.417521386399011e-57]","[0.86, 2.6058774037713476e-38]","[0.91, 2.596277269141426e-44]","[0.96, 1.4287357500157535e-51]","[0.99, 4.417521386399011e-57]","[0.87, 1.9509242595079607e-39]","[0.92, 1.2170049699100436e-45]","[0.97, 2.9009862944482307e-53]","[0.99, 4.417521386399011e-57]","[0.86, 2.6058774037713476e-38]","[0.91, 2.596277269141426e-44]","[0.96, 1.4287357500157535e-51]","[0.99, 4.417521386399011e-57]","[0.55, 3.0406585087050305e-14]","[0.38, 8.001543644272532e-07]","[0.18, 0.07822115797841851]","[0.55, 3.0406585087050305e-14]","[0.52, 1.070075869779788e-12]","[0.6, 4.528308394643339e-17]","[0.75, 9.987382295089846e-28]","[0.96, 1.4287357500157535e-51]","[0.89, 8.565354736103848e-42]","[0.97, 2.9009862944482307e-53]","[1.0, 2.2087606931995054e-59]","[0.67, 1.3341803223979991e-21]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.17, 0.11119526053829192]","[0.15, 0.21117008625127576]","[0.17, 0.11119526053829192]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.62, 2.7084430241713094e-18]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.96, 1.4287357500157535e-51]","[0.95, 5.600644140061753e-50]","[0.78, 2.485563277850393e-30]","[0.84, 3.7361767276571696e-36]","[0.27, 0.0012935059781377376]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.95, 5.600644140061753e-50]"
252,5,0,65.0,1,"[0.88, 1.349043370936356e-40]","[0.95, 5.600644140061753e-50]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.87, 1.9509242595079607e-39]","[0.95, 5.600644140061753e-50]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.88, 1.349043370936356e-40]","[0.95, 5.600644140061753e-50]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.87, 1.9509242595079607e-39]","[0.95, 5.600644140061753e-50]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.67, 1.3341803223979991e-21]","[0.5, 1.0024645454361508e-11]","[0.17, 0.11119526053829192]","[0.63, 6.314161651442317e-19]","[0.48, 8.448372017533173e-11]","[0.61, 1.1250455638865439e-17]","[0.8, 3.5640292810890176e-32]","[0.98, 4.395433779467016e-55]","[0.92, 1.2170049699100436e-45]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.75, 9.987382295089846e-28]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.22, 0.015577131622877688]","[0.1, 0.7020569828664881]","[0.2, 0.03638428787491733]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.65, 3.108079571219943e-20]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.97, 2.9009862944482307e-53]","[0.96, 1.4287357500157535e-51]","[0.85, 3.231287980676471e-37]","[0.88, 1.349043370936356e-40]","[0.32, 6.281176788972264e-05]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.97, 2.9009862944482307e-53]"
253,5,0,70.0,1,"[0.92, 1.2170049699100436e-45]","[0.96, 1.4287357500157535e-51]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.93, 5.044580186155621e-47]","[0.98, 4.395433779467016e-55]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.92, 1.2170049699100436e-45]","[0.96, 1.4287357500157535e-51]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.93, 5.044580186155621e-47]","[0.98, 4.395433779467016e-55]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.61, 1.1250455638865439e-17]","[0.45, 1.7047967801006258e-09]","[0.21, 0.024055802841094577]","[0.59, 1.7671447393730104e-16]","[0.54, 1.0245697148897385e-13]","[0.65, 3.108079571219943e-20]","[0.85, 3.231287980676471e-37]","[0.98, 4.395433779467016e-55]","[0.93, 5.044580186155621e-47]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.76, 1.4186622578252622e-28]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.13, 0.36818778606286096]","[0.16, 0.1548386665118475]","[0.16, 0.1548386665118475]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.65, 3.108079571219943e-20]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.99, 4.417521386399011e-57]","[0.98, 4.395433779467016e-55]","[0.85, 3.231287980676471e-37]","[0.92, 1.2170049699100436e-45]","[0.35, 7.850159128072286e-06]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[0.99, 4.417521386399011e-57]"
254,5,0,75.0,1,"[0.95, 5.600644140061753e-50]","[0.97, 2.9009862944482307e-53]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.95, 5.600644140061753e-50]","[0.97, 2.9009862944482307e-53]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.95, 5.600644140061753e-50]","[0.97, 2.9009862944482307e-53]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.95, 5.600644140061753e-50]","[0.97, 2.9009862944482307e-53]","[0.99, 4.417521386399011e-57]","[1.0, 2.2087606931995054e-59]","[0.56, 8.771130313572204e-15]","[0.41, 6.617357604827955e-08]","[0.18, 0.07822115797841851]","[0.68, 2.6207113475674983e-22]","[0.61, 1.1250455638865439e-17]","[0.76, 1.4186622578252622e-28]","[0.84, 3.7361767276571696e-36]","[0.97, 2.9009862944482307e-53]","[0.96, 1.4287357500157535e-51]","[0.98, 4.395433779467016e-55]","[1.0, 2.2087606931995054e-59]","[0.78, 2.485563277850393e-30]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.21, 0.024055802841094577]","[0.18, 0.07822115797841851]","[0.19, 0.05390207893129876]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]","[0.69, 4.9622936758674526e-23]","[1.0, 2.2087606931995054e-59]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.99, 4.417521386399011e-57]","[0.97, 2.9009862944482307e-53]","[0.86, 2.6058774037713476e-38]","[0.91, 2.596277269141426e-44]","[0.39, 3.5690338557186834e-07]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 2.2087606931995054e-59]","[1.0, 2.2087606931995054e-59]"
